,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
0,Rescue your chickens,Single-player;Steam Trading Cards,Action;Indie,Action;Indie,0.36168948055052164,Outstanding,0.5592237127748952,Average,0.22741648385923247,Excellent,0.37894879347093424,Outstanding
1,Overruled!,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Multiplayer,0.037922077922077926,Average,0.5125974025974026,BelowAverage,0.20792207792207795,Excellent,0.2502857142857143,Average
2,CLASH! - Battle Arena,Single-player;Multi-player;Local Multi-Player;Full controller support,Action;Indie,Action;Indie;Fighting,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
3,PixBit,Single-player;Steam Trading Cards,Action;Indie,Action;Indie,0.3740632647997886,Outstanding,0.42246717648608195,Unacceptable,0.4892910758571511,Masterpiece,0.4243211006571972,Outstanding
4,Rise,Single-player,Action;Indie,Indie;Action,0.029074074074074075,Subpar,0.4383333333333333,Subpar,0.11407407407407408,Subpar,0.1918888888888889,Subpar
5,AIRHEART - Tales of broken Wings,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Female Protagonist,0.044763779527559056,Good,0.720748031496063,Outstanding,0.12976377952755908,Good,0.29544094488188977,Good
6,Cargo Breach,Single-player;Steam Achievements,Action;Indie,Action;Indie;VR,0.036250000000000004,Average,0.5675,Average,0.12125000000000001,Average,0.23925000000000002,Average
7,Deep Space Shooter,Single-player;Steam Achievements,Action;Indie,Action;Indie;Space,0.034629629629629635,BelowAverage,0.5383333333333333,Average,0.11962962962962964,BelowAverage,0.22855555555555557,BelowAverage
8,"The Outlaw, The Drunk, & The Whore",Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Pixel Graphics,0.034629629629629635,BelowAverage,0.5383333333333333,Average,0.11962962962962964,BelowAverage,0.22855555555555557,BelowAverage
9,Spartaga,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Action;Indie;VR,0.04535087719298246,Good,0.7313157894736841,Outstanding,0.13035087719298247,Good,0.2993157894736842,Good
10,TAYAL,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Indie;Action;Retro,0.04514084507042254,Good,0.7275352112676057,Outstanding,0.13014084507042256,Good,0.29792957746478876,Good
11,Fenix Box,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie,Indie;Action,0.03208333333333334,Mediocre,0.4925,Mediocre,0.11708333333333334,Mediocre,0.21175,Mediocre
12,KickBeat Steam Edition,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Music;Action;Indie,0.36468069249373897,Outstanding,0.6220422905225829,Good,0.4098275254219117,Outstanding,0.460861667784617,Outstanding
13,Private Detective Punch Drunk,Single-player,Action;Indie,Action;Indie,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
14,Jeeboman,Single-player;Steam Achievements;Steam Trading Cards;VR Support;Stats,Action;Indie,Action;Indie;VR,0.03775862068965517,Average,0.5946551724137931,AboveAverage,0.12275862068965518,Average,0.24920689655172415,Average
15,Paparazzi,Single-player;Multi-player;Steam Achievements;Full controller support,Action;Indie,Indie;Action;Funny,0.0313888888888889,Mediocre,0.48000000000000004,Mediocre,0.1163888888888889,Mediocre,0.2071666666666667,Mediocre
16,Get Dis Money,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Action;Indie,Action;Indie,0.031190476190476196,Mediocre,0.4764285714285715,Mediocre,0.1161904761904762,Mediocre,0.20585714285714288,Subpar
17,Unnamed Fiasco,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Action;Indie,0.030000000000000002,Subpar,0.455,Subpar,0.11500000000000002,Subpar,0.198,Subpar
